47
ratio
Rectilinear
3352.70
12.0	15.0
sparse

1	3	5	
2	4	5	
3	4	5	
4	16	5	
5	4	5	
6	5	5	
7	2	5	
8	3	5	
9	5	5	
10	6	5	
11	2	5	
12	24	5	
13	5	5	
14	3	5	
15	11	5	
16	6	5	
17	2	5	
18	8	5	
19	4	5	
20	5	5	
21	4	5	
22	3	5	
23	1	5	
24	3	5
25	1	5
26	4	5
27	6	5
28	1	5
29	14	5
30	4	5
31	1	0
32	1	0
33	1	0
34	1	0
35	1	0
36	1	0
37	1	0
38	1	0
39	1	0
40	1	0
41	1	0
42	1	0
43	1	0
44	1	0
45	1	0
46	1	0
47	1	0

1	24	2.95	
1	25	6.32	
1	26	1.26	
1	27	2.11	
1	28	1.26	
1	30	13.91	
2	6	20.38	
2	19	4.5	
2	20	3.63	
2	21	2.93	
2	22	1.29	
2	23	1.43	
4	3	394.11	
5	11	4.09	
5	12	33.09	
6	5	8.92	
6	7	2.07	
6	8	4.84	
6	10	4.56	
6	12	1.83	
6	17	0.61	
7	8	12.97	
8	9	43.23	
9	11	4.76	
9	12	38.47
10	12	38.03
11	12	8.84
12	13	12.97
12	14	4.67
12	15	53.42
12	16	1.83
13	15	12.97
14	15	4.67
15	4	63.95
15	18	190.74
16	15	4.58
17	15	0.76
18	4	190.74
19	29	9.18
20	29	7.4
21	29	5.97
22	29	2.63
23	29	2.92
24	29	5.9
25	29	12.65
26	29	2.53
27	29	4.22
28	29	2.53
29	4	190.13
30	29	59.64	
